product_name,product_code,category_main,category_mid,category_sub,full_path,price_original,price_discounted,brand,discount_pct,price_anomaly,ever_purchased
Solingen Yan Cımbız 7338 Black,6524,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,229.5,149.18,Solingen,35.0,False,False
Solingen Cımbız 7338 Aranya,6525,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,229.5,149.18,Solingen,35.0,False,False
Solingen Cımbız 7338 Black,6526,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,229.5,149.18,Solingen,35.0,False,False
Solingen Cımbız 7338 Inox,6527,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,229.5,149.18,Solingen,35.0,False,False
Solingen Cımbız 7337 Nikel,6773,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,229.5,149.18,Solingen,35.0,False,False
Solingen Cımbız 7338 Gold,6774,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,229.5,149.18,Solingen,35.0,False,False
Solingen Cımbız 7338 Yan Nikel,6775,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,229.5,149.18,Solingen,35.0,False,False
Solingen Cımbız 7338 Yan Gold,6776,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,229.5,149.18,Solingen,35.0,False,False
Lionesse Ayna 2083 6,6467,Makyaj,,Makyaj Aksesuarları,Makyaj > Makyaj Aksesuarları,229.7,149.31,Lionesse,35.0,False,False
Lionesse Ayna 2084 6,6468,Makyaj,,Makyaj Aksesuarları,Makyaj > Makyaj Aksesuarları,229.7,149.31,Lionesse,35.0,False,False
Dove Original Kadın Deo Stick 40 Gr,23947,Parfüm,Kadın Parfüm,Deo Stick,Parfüm > Kadın Parfüm >Deo Stick,230.0,161.0,Dove,30.0,False,False
Rexona Powder Kadın Deo Stick 50 Gr,24156,Parfüm,Kadın Parfüm,Deo Stick,Parfüm > Kadın Parfüm >Deo Stick,230.0,195.5,Rexona,15.0,False,False
Rexona Men Active Erkek Deo Stick 50 Gr,24157,Parfüm,Erkek Parfüm,Deo Stick,Parfüm > Erkek Parfüm >Deo Stick,230.0,195.5,Rexona,15.0,False,False
Rexona Men Power Deo Stick 50 Ml,24162,Parfüm,Erkek Parfüm,Deo Stick,Parfüm > Erkek Parfüm >Deo Stick,230.0,195.5,Rexona,15.0,False,False
Rexona Men Quantum Dry Erkek Deo Stick 50 Ml,24163,Parfüm,Erkek Parfüm,Deo Stick,Parfüm > Erkek Parfüm >Deo Stick,230.0,161.0,Rexona,30.0,False,False
Rexona Men Invisible Erkek Deo Stick 50 Ml,35200,Parfüm,Erkek Parfüm,Deo Stick,Parfüm > Erkek Parfüm >Deo Stick,230.0,161.0,Rexona,30.0,False,False
Rexona Women Shower Clean Kadın Deo Stick 40 Ml,54355,Parfüm,Kadın Parfüm,Deo Stick,Parfüm > Kadın Parfüm >Deo Stick,230.0,161.0,Rexona,30.0,False,False
Rexona Women Linen Dry Kadın Deo Stick 50 Ml,64070,Parfüm,Kadın Parfüm,Deo Stick,Parfüm > Kadın Parfüm >Deo Stick,230.0,195.5,Rexona,15.0,False,False
Rexona Invisible Black&White Kadın Deo Stick 50 Gr,75520,Parfüm,Kadın Parfüm,Deo Stick,Parfüm > Kadın Parfüm >Deo Stick,230.0,161.0,Rexona,30.0,False,False
Rexona Cotton Dry Kadın Deo Stick 40 Ml,104718,Parfüm,Kadın Parfüm,Deo Stick,Parfüm > Kadın Parfüm >Deo Stick,230.0,161.0,Rexona,30.0,False,False
Rexona Powder Dry Kadın Deo Stick 40 Ml,104720,Parfüm,Kadın Parfüm,Deo Stick,Parfüm > Kadın Parfüm >Deo Stick,230.0,161.0,Rexona,30.0,False,False
Axe Black Erkek Deo Stick 50 Ml,110302,Parfüm,Erkek Parfüm,Deo Stick,Parfüm > Erkek Parfüm >Deo Stick,230.0,108.1,Axe,53.0,False,False
Axe Leather&Cookies Erkek Deo Stick 50 Ml,110303,Parfüm,Erkek Parfüm,Deo Stick,Parfüm > Erkek Parfüm >Deo Stick,230.0,108.1,Axe,53.0,False,False
Axe Ice Chill Erkek Deo Stick 50 Ml,110304,Parfüm,Erkek Parfüm,Deo Stick,Parfüm > Erkek Parfüm >Deo Stick,230.0,108.1,Axe,53.0,False,False
Rexona Men Cobalt Dry Deo Stick 50 Ml,123290,Parfüm,Erkek Parfüm,Deo Stick,Parfüm > Erkek Parfüm >Deo Stick,230.0,161.0,Rexona,30.0,False,False
